phase,block,schedule,slot,arm,occurrence,dispatches,status,completed,gpu_start_s,gpu_end_s,gpu_ms,kernel_ms,encode_ms,commit_wait_ms,wall_ms,result
measure,20,ECCE,2,C,2,344,4,1,427080.238459500,427080.254389250,15.929750,0.140000,0.213000,16.240000,16.453000,PASS
measure,20,ECCE,3,E,2,344,4,1,427080.254965125,427080.274122542,19.157417,0.100750,0.290000,19.437000,19.727000,PASS
measure,21,CEEC,0,C,1,344,4,1,427080.274668250,427080.290589542,15.921292,0.099750,0.261000,16.195000,16.456000,PASS
measure,21,CEEC,1,E,1,344,4,1,427080.291140250,427080.310410000,19.269750,0.101167,0.265000,19.543000,19.808000,PASS
measure,21,CEEC,2,E,2,344,4,1,427080.311012500,427080.330283250,19.270750,0.137417,0.284000,19.579000,19.863000,PASS
measure,21,CEEC,3,C,2,344,4,1,427080.330820000,427080.346797125,15.977125,0.102875,0.245000,16.231000,16.476000,PASS
measure,22,ECCE,0,E,1,344,4,1,427080.347358750,427080.366578875,19.220125,0.093125,0.283000,19.496000,19.779000,PASS
measure,22,ECCE,1,C,1,344,4,1,427080.367104292,427080.383084292,15.980000,0.091375,0.234000,16.245000,16.479000,PASS
measure,22,ECCE,2,C,2,344,4,1,427080.383519292,427080.399306750,15.787458,0.043917,0.238000,15.985000,16.223000,PASS
measure,22,ECCE,3,E,2,344,4,1,427080.399836000,427080.419450000,19.614000,0.058667,0.276000,19.892000,20.168000,PASS
measure,23,CEEC,0,C,1,344,4,1,427080.419965167,427080.435694542,15.729375,0.049750,0.241000,15.952000,16.193000,PASS
measure,23,CEEC,1,E,1,344,4,1,427080.436207250,427080.455621500,19.414250,0.045208,0.282000,19.623000,19.905000,PASS
measure,23,CEEC,2,E,2,344,4,1,427080.456161500,427080.475331250,19.169750,0.035500,0.294000,19.377000,19.671000,PASS
measure,23,CEEC,3,C,2,344,4,1,427080.475775875,427080.491751042,15.975167,0.035958,0.244000,16.158000,16.402000,PASS
measure,24,ECCE,0,E,1,344,4,1,427080.492211375,427080.511361250,19.149875,0.025458,0.261000,19.339000,19.600000,PASS
measure,24,ECCE,1,C,1,344,4,1,427080.511810625,427080.527749125,15.938500,0.027667,0.256000,16.124000,16.380000,PASS
measure,24,ECCE,2,C,2,344,4,1,427080.528303667,427080.544044167,15.740500,0.121333,0.236000,16.061000,16.297000,PASS
measure,24,ECCE,3,E,2,344,4,1,427080.544627667,427080.564032167,19.404500,0.090292,0.284000,19.675000,19.959000,PASS
measure,25,CEEC,0,C,1,344,4,1,427080.564576875,427080.580305875,15.729000,0.098542,0.256000,16.014000,16.270000,PASS
measure,25,CEEC,1,E,1,344,4,1,427080.580906250,427080.600337875,19.431625,0.101833,0.283000,19.729000,20.012000,PASS
measure,25,CEEC,2,E,2,344,4,1,427080.600956250,427080.620121250,19.165000,0.137125,0.286000,19.494000,19.780000,PASS
measure,25,CEEC,3,C,2,344,4,1,427080.620675625,427080.636615292,15.939667,0.101583,0.258000,16.220000,16.478000,PASS
measure,26,ECCE,0,E,1,344,4,1,427080.637190000,427080.656301250,19.111250,0.102708,0.284000,19.395000,19.679000,PASS
measure,26,ECCE,1,C,1,344,4,1,427080.656855875,427080.672747250,15.891375,0.099875,0.257000,16.175000,16.432000,PASS
measure,26,ECCE,2,C,2,344,4,1,427080.673356625,427080.689124042,15.767417,0.139500,0.257000,16.125000,16.382000,PASS
measure,26,ECCE,3,E,2,344,4,1,427080.689677250,427080.709262375,19.585125,0.069167,0.289000,19.803000,20.092000,PASS
measure,27,CEEC,0,C,1,344,4,1,427080.709737042,427080.725547250,15.810208,0.087750,0.215000,16.049000,16.264000,PASS
measure,27,CEEC,1,E,1,344,4,1,427080.726038750,427080.745482417,19.443667,0.094750,0.243000,19.715000,19.958000,PASS
measure,27,CEEC,2,E,2,344,4,1,427080.746057000,427080.765346792,19.289792,0.130917,0.261000,19.584000,19.845000,PASS
measure,27,CEEC,3,C,2,344,4,1,427080.765878375,427080.781613000,15.734625,0.094875,0.258000,16.006000,16.264000,PASS
measure,28,ECCE,0,E,1,344,4,1,427080.782221875,427080.801619500,19.397625,0.101500,0.288000,19.700000,19.988000,PASS
measure,28,ECCE,1,C,1,344,4,1,427080.802158625,427080.817882750,15.724125,0.097750,0.258000,16.008000,16.266000,PASS
measure,28,ECCE,2,C,2,344,4,1,427080.818467375,427080.834299125,15.831750,0.137833,0.255000,16.131000,16.386000,PASS
