layer,site,format,k,n,weight_offset,weight_bytes,e_api,c_api,c_grid_x,c_threads_x,c_threads_y,common_a_offset,common_a_bytes
18,3,q8_0,1024,32768,82071426624,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
18,4,q8_0,8192,4096,82031318592,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,81995667008,35651584
18,5,f16,16384,24,82136734496,786432,matmul_f16,exact_smallm,12,32,8,0,0
18,6,f16,4096,256,82107095616,2097152,matmul_f16,exact_smallm,128,32,8,0,0
19,0,f16,16384,24,82288558240,786432,matmul_f16,exact_smallm,12,32,8,0,0
19,1,q8_0,4096,1024,82219580480,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
19,2,q8_0,4096,512,82146049088,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
19,3,q8_0,1024,32768,82224036928,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
19,4,q8_0,8192,4096,82183928896,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,82148277312,35651584
19,5,f16,16384,24,82289344800,786432,matmul_f16,exact_smallm,12,32,8,0,0
19,6,f16,4096,256,82259705920,2097152,matmul_f16,exact_smallm,128,32,8,0,0
20,0,f16,16384,24,82470932640,786432,matmul_f16,exact_smallm,12,32,8,0,0
20,1,q8_0,4096,1024,82401954880,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
20,2,q8_0,4096,512,82328423488,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
20,3,q8_0,1024,32768,82406411328,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
20,4,q8_0,8192,4096,82366303296,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,82330651712,35651584
20,5,f16,16384,24,82471719200,786432,matmul_f16,exact_smallm,12,32,8,0,0
20,6,f16,4096,256,82442080320,2097152,matmul_f16,exact_smallm,128,32,8,0,0
21,0,f16,16384,24,82623542944,786432,matmul_f16,exact_smallm,12,32,8,0,0
21,1,q8_0,4096,1024,82554565184,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
21,2,q8_0,4096,512,82481033792,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
21,3,q8_0,1024,32768,82559021632,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
21,4,q8_0,8192,4096,82518913600,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,82483262016,35651584
21,5,f16,16384,24,82624329504,786432,matmul_f16,exact_smallm,12,32,8,0,0
21,6,f16,4096,256,82594690624,2097152,matmul_f16,exact_smallm,128,32,8,0,0
22,0,f16,16384,24,82805917344,786432,matmul_f16,exact_smallm,12,32,8,0,0
22,1,q8_0,4096,1024,82736939584,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
22,2,q8_0,4096,512,82663408192,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
22,3,q8_0,1024,32768,82741396032,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
22,4,q8_0,8192,4096,82701288000,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,82665636416,35651584
22,5,f16,16384,24,82806703904,786432,matmul_f16,exact_smallm,12,32,8,0,0
22,6,f16,4096,256,82777065024,2097152,matmul_f16,exact_smallm,128,32,8,0,0
23,0,f16,16384,24,82958527648,786432,matmul_f16,exact_smallm,12,32,8,0,0
23,1,q8_0,4096,1024,82889549888,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
23,2,q8_0,4096,512,82816018496,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
23,3,q8_0,1024,32768,82894006336,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
23,4,q8_0,8192,4096,82853898304,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,82818246720,35651584
23,5,f16,16384,24,82959314208,786432,matmul_f16,exact_smallm,12,32,8,0,0
23,6,f16,4096,256,82929675328,2097152,matmul_f16,exact_smallm,128,32,8,0,0
24,0,f16,16384,24,83140902048,786432,matmul_f16,exact_smallm,12,32,8,0,0
24,1,q8_0,4096,1024,83071924288,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
24,2,q8_0,4096,512,82998392896,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
24,3,q8_0,1024,32768,83076380736,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
24,4,q8_0,8192,4096,83036272704,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,83000621120,35651584
24,5,f16,16384,24,83141688608,786432,matmul_f16,exact_smallm,12,32,8,0,0
24,6,f16,4096,256,83112049728,2097152,matmul_f16,exact_smallm,128,32,8,0,0
25,0,f16,16384,24,83293512352,786432,matmul_f16,exact_smallm,12,32,8,0,0
25,1,q8_0,4096,1024,83224534592,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
25,2,q8_0,4096,512,83151003200,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
25,3,q8_0,1024,32768,83228991040,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
25,4,q8_0,8192,4096,83188883008,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,83153231424,35651584
25,5,f16,16384,24,83294298912,786432,matmul_f16,exact_smallm,12,32,8,0,0
25,6,f16,4096,256,83264660032,2097152,matmul_f16,exact_smallm,128,32,8,0,0
26,0,f16,16384,24,83475886752,786432,matmul_f16,exact_smallm,12,32,8,0,0
26,1,q8_0,4096,1024,83406908992,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
26,2,q8_0,4096,512,83333377600,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
26,3,q8_0,1024,32768,83411365440,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
26,4,q8_0,8192,4096,83371257408,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,83335605824,35651584
26,5,f16,16384,24,83476673312,786432,matmul_f16,exact_smallm,12,32,8,0,0
26,6,f16,4096,256,83447034432,2097152,matmul_f16,exact_smallm,128,32,8,0,0
27,0,f16,16384,24,83628497056,786432,matmul_f16,exact_smallm,12,32,8,0,0
27,1,q8_0,4096,1024,83559519296,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
27,2,q8_0,4096,512,83485987904,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
27,3,q8_0,1024,32768,83563975744,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
27,4,q8_0,8192,4096,83523867712,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,83488216128,35651584
27,5,f16,16384,24,83629283616,786432,matmul_f16,exact_smallm,12,32,8,0,0
27,6,f16,4096,256,83599644736,2097152,matmul_f16,exact_smallm,128,32,8,0,0
28,0,f16,16384,24,83810871456,786432,matmul_f16,exact_smallm,12,32,8,0,0
28,1,q8_0,4096,1024,83741893696,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
28,2,q8_0,4096,512,83668362304,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
28,3,q8_0,1024,32768,83746350144,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
28,4,q8_0,8192,4096,83706242112,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,83670590528,35651584
28,5,f16,16384,24,83811658016,786432,matmul_f16,exact_smallm,12,32,8,0,0
28,6,f16,4096,256,83782019136,2097152,matmul_f16,exact_smallm,128,32,8,0,0
29,0,f16,16384,24,83963481760,786432,matmul_f16,exact_smallm,12,32,8,0,0
29,1,q8_0,4096,1024,83894504000,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
29,2,q8_0,4096,512,83820972608,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
29,3,q8_0,1024,32768,83898960448,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
29,4,q8_0,8192,4096,83858852416,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,83823200832,35651584
29,5,f16,16384,24,83964268320,786432,matmul_f16,exact_smallm,12,32,8,0,0
29,6,f16,4096,256,83934629440,2097152,matmul_f16,exact_smallm,128,32,8,0,0
30,0,f16,16384,24,84145856160,786432,matmul_f16,exact_smallm,12,32,8,0,0
30,1,q8_0,4096,1024,84076878400,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
30,2,q8_0,4096,512,84003347008,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
30,3,q8_0,1024,32768,84081334848,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
30,4,q8_0,8192,4096,84041226816,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,84005575232,35651584
30,5,f16,16384,24,84146642720,786432,matmul_f16,exact_smallm,12,32,8,0,0
30,6,f16,4096,256,84117003840,2097152,matmul_f16,exact_smallm,128,32,8,0,0
31,0,f16,16384,24,84298466464,786432,matmul_f16,exact_smallm,12,32,8,0,0
31,1,q8_0,4096,1024,84229488704,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
31,2,q8_0,4096,512,84155957312,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
31,3,q8_0,1024,32768,84233945152,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
31,4,q8_0,8192,4096,84193837120,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,84158185536,35651584
31,5,f16,16384,24,84299253024,786432,matmul_f16,exact_smallm,12,32,8,0,0
31,6,f16,4096,256,84269614144,2097152,matmul_f16,exact_smallm,128,32,8,0,0
32,0,f16,16384,24,84480840864,786432,matmul_f16,exact_smallm,12,32,8,0,0
32,1,q8_0,4096,1024,84411863104,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
32,2,q8_0,4096,512,84338331712,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
32,3,q8_0,1024,32768,84416319552,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
32,4,q8_0,8192,4096,84376211520,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,84340559936,35651584
32,5,f16,16384,24,84481627424,786432,matmul_f16,exact_smallm,12,32,8,0,0
32,6,f16,4096,256,84451988544,2097152,matmul_f16,exact_smallm,128,32,8,0,0
33,0,f16,16384,24,84633451168,786432,matmul_f16,exact_smallm,12,32,8,0,0
33,1,q8_0,4096,1024,84564473408,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
33,2,q8_0,4096,512,84490942016,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
33,3,q8_0,1024,32768,84568929856,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
33,4,q8_0,8192,4096,84528821824,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,84493170240,35651584
33,5,f16,16384,24,84634237728,786432,matmul_f16,exact_smallm,12,32,8,0,0
33,6,f16,4096,256,84604598848,2097152,matmul_f16,exact_smallm,128,32,8,0,0
34,0,f16,16384,24,84815825568,786432,matmul_f16,exact_smallm,12,32,8,0,0
34,1,q8_0,4096,1024,84746847808,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
