stratum,round,order_position,selector,layers,gpu_ms,kernel_ms,wall_ms
0,10,2,0,43,10.649458,0.389792,18.089
0,10,3,2,43,10.669292,0.361833,17.765
0,11,0,4,43,5.8965,0.380958,13.476
0,11,1,0,43,10.650125,0.354125,18.02
0,11,2,2,43,10.655333,0.35325,18.42
0,11,3,3,43,5.879417,0.343125,13.482
0,12,0,0,43,10.689042,0.361667,18.313
0,12,1,4,43,5.885542,0.354917,13.445
0,12,2,3,43,6.013167,0.35,13.306
0,12,3,2,43,10.656208,0.573333,18.381
0,13,0,2,43,10.658084,1.1895,18.891
0,13,1,0,43,10.6655,1.196166,18.712
0,13,2,4,43,5.99725,1.098917,13.58
0,13,3,3,43,5.939334,1.051042,13.312
0,14,0,3,43,6.051125,1.068708,13.177
0,14,1,2,43,10.665042,1.273,19.202
0,14,2,0,43,10.658625,1.239542,18.628
0,14,3,4,43,5.935417,1.227042,13.617
0,15,0,4,43,5.966833,1.105125,13.326
0,15,1,3,43,5.979958,1.068,13.441
0,15,2,2,43,10.66425,1.241542,19.145
0,15,3,0,43,10.664667,1.237917,18.738
0,16,0,0,43,10.67,1.324917,19.188
0,16,1,2,43,10.662667,1.256459,19.13
0,16,2,3,43,5.935625,1.167792,13.517
0,16,3,4,43,5.930167,1.158542,13.42
0,17,0,2,43,10.676125,1.252958,18.776
0,17,1,3,43,6.084417,1.173292,13.356
0,17,2,4,43,5.945708,1.11875,13.29
0,17,3,0,43,10.661458,1.237042,18.791
0,18,0,3,43,5.938792,1.147333,13.181
0,18,1,4,43,5.951417,1.192792,13.74
0,18,2,0,43,10.657167,1.20875,18.84
0,18,3,2,43,10.668209,1.289542,18.953
0,19,0,4,43,5.94825,1.162542,13.258
0,19,1,0,43,10.651833,1.258417,19.133
0,19,2,2,43,10.668833,1.220083,18.845
0,19,3,3,43,5.968792,1.191958,13.639
0,20,0,0,43,10.666708,1.248583,18.774
0,20,1,4,43,5.967875,1.194167,13.489
0,20,2,3,43,5.961417,1.152042,13.534
0,20,3,2,43,10.659833,1.259041,18.72
0,21,0,2,43,10.66625,1.289417,19.261
0,21,1,0,43,10.675083,1.273375,19.016
0,21,2,4,43,5.941833,1.177667,13.459
0,21,3,3,43,5.93125,1.139334,13.445
0,22,0,3,43,6.059583,1.163125,13.72
0,22,1,2,43,10.658292,1.269375,19.292
0,22,2,0,43,10.655083,1.328417,19.059
0,22,3,4,43,5.931333,1.146958,13.424
0,23,0,4,43,5.931667,1.153792,13.535
0,23,1,3,43,5.930708,1.194542,13.479
0,23,2,2,43,10.674458,1.274667,18.802
0,23,3,0,43,10.660125,1.194416,18.254
0,24,0,0,43,10.6565,1.206542,18.744
0,24,1,2,43,10.665875,1.256042,18.853
0,24,2,3,43,5.930917,1.150833,13.349
0,24,3,4,43,6.026792,1.166,13.595
0,25,0,2,43,10.673375,1.207,18.666
0,25,1,3,43,5.94175,1.143458,13.455
0,25,2,4,43,5.942083,1.156833,13.645
0,25,3,0,43,10.671833,1.231792,18.739
0,26,0,3,43,5.940792,1.13125,13.274
0,26,1,4,43,5.949792,1.090625,13.469
0,26,2,0,43,10.660167,1.284292,19.075
0,26,3,2,43,10.665792,1.329125,19.027
0,27,0,4,43,5.945583,1.226,13.609
0,27,1,0,43,10.662,1.261833,18.895
0,27,2,2,43,10.676208,1.27225,18.876
0,27,3,3,43,5.939916,1.131833,13.387
0,28,0,0,43,10.656083,1.275833,18.819
0,28,1,4,43,6.028375,1.166292,13.447
0,28,2,3,43,5.958167,1.100458,13.664
0,28,3,2,43,10.658583,1.310416,19.376
0,29,0,2,43,10.652167,1.29725,19.393
0,29,1,0,43,10.658417,1.284667,19.12
0,29,2,4,43,5.904792,1.16075,13.37
0,29,3,3,43,6.072042,1.194917,13.728
0,30,0,3,43,5.898708,1.184875,13.935
0,30,1,2,43,10.660167,1.247167,18.954
0,30,2,0,43,10.682125,1.234083,18.671
0,30,3,4,43,5.882042,1.153083,13.716
0,31,0,4,43,5.877083,1.125167,13.52
0,31,1,3,43,5.878584,1.152167,13.645
0,31,2,2,43,10.659667,1.254333,18.797
0,31,3,0,43,10.649,1.262625,18.87
1,0,0,0,43,10.684583,1.234625,18.833
1,0,1,2,43,10.676833,1.296958,19.031
1,0,2,3,43,5.909042,1.139792,13.428
1,0,3,4,43,6.06725,1.164417,13.444
1,1,0,2,43,10.694208,1.227917,19.223
1,1,1,3,43,5.951708,1.124417,13.891
1,1,2,4,43,5.906625,1.195791,13.692
1,1,3,0,43,10.679083,1.230208,18.724
1,2,0,3,43,5.90275,1.214375,13.367
1,2,1,4,43,5.909708,1.154209,13.733
1,2,2,0,43,10.692667,1.198208,18.403
1,2,3,2,43,10.677708,1.200917,18.474
1,3,0,4,43,5.912333,1.126042,13.497
1,3,1,0,43,10.667541,1.261875,19.116
1,3,2,2,43,10.6835,1.268666,19.172
1,3,3,3,43,5.886167,1.166291,13.276
1,4,0,0,43,10.710208,1.264666,19.04
1,4,1,4,43,5.982458,1.161625,13.441
1,4,2,3,43,5.987417,1.13375,13.601
1,4,3,2,43,10.687208,1.25675,19.024
1,5,0,2,43,10.68675,1.261125,18.742
1,5,1,0,43,10.685167,1.229917,18.719
1,5,2,4,43,6.097958,1.070042,13.307
1,5,3,3,43,5.982208,1.082875,13.311
1,6,0,3,43,5.969375,1.101417,13.401
1,6,1,2,43,10.665583,1.144458,18.317
1,6,2,0,43,10.670208,1.138833,18.258
1,6,3,4,43,6.238708,1.083333,13.392
1,7,0,4,43,6.363375,1.033875,13.299
1,7,1,3,43,6.108958,1.09325,13.056
1,7,2,2,43,10.664291,1.147417,18.089
1,7,3,0,43,10.675208,1.138084,18.058
1,8,0,0,43,10.667708,1.125916,17.767
1,8,1,2,43,10.669167,1.182167,18.027
1,8,2,3,43,5.956542,1.140125,13.597
1,8,3,4,43,6.082792,1.12625,13.36
1,9,0,2,43,10.686417,1.316375,19.178
1,9,1,3,43,5.964208,1.152875,13.323
1,9,2,4,43,5.953917,1.16625,13.791
1,9,3,0,43,10.698125,1.210333,18.567
1,10,0,3,43,5.969291,1.230208,13.581
1,10,1,4,43,5.976375,1.14275,13.695
1,10,2,0,43,10.693833,1.264875,18.878
1,10,3,2,43,10.69525,1.228291,18.749
1,11,0,4,43,5.922125,1.174167,13.711
1,11,1,0,43,10.67725,1.247167,18.682
1,11,2,2,43,10.683833,1.175625,18.548
1,11,3,3,43,5.96625,1.172084,13.393
1,12,0,0,43,10.7075,1.268,18.714
1,12,1,4,43,5.999208,1.156958,13.452
1,12,2,3,43,5.950875,1.243542,13.584
1,12,3,2,43,10.679417,1.215166,18.689
1,13,0,2,43,10.684292,1.252167,18.726
1,13,1,0,43,10.705917,1.234583,18.873
1,13,2,4,43,6.094416,1.187458,13.495
1,13,3,3,43,5.988833,1.1815,13.527
1,14,0,3,43,5.9645,1.130708,13.479
1,14,1,2,43,10.691958,1.245458,18.962
1,14,2,0,43,10.684375,1.277,19.076
1,14,3,4,43,5.963209,1.140833,13.473
1,15,0,4,43,5.953875,1.136042,13.485
1,15,1,3,43,6.083708,1.15525,13.691
1,15,2,2,43,10.680916,1.2685,19.148
1,15,3,0,43,10.696042,1.278958,18.84
1,16,0,0,43,10.673834,1.278833,18.876
1,16,1,2,43,10.704,1.216875,18.651
1,16,2,3,43,5.960833,1.196708,13.439
1,16,3,4,43,6.066291,1.145541,13.597
1,17,0,2,43,10.682417,1.211875,18.801
1,17,1,3,43,5.963334,1.148875,13.585
1,17,2,4,43,5.961917,1.174042,13.498
1,17,3,0,43,10.677625,1.265417,19.16
1,18,0,3,43,5.959083,1.164375,13.474
1,18,1,4,43,6.084167,1.092583,13.741
1,18,2,0,43,10.680958,1.269542,19.074
1,18,3,2,43,10.678083,1.229125,19.008
