stratum,round,order_position,selector,layers,gpu_ms,kernel_ms,wall_ms
0,25,3,1,43,10.850167,1.013375,18.155000
0,25,4,2,43,10.723500,1.038792,17.797000
0,26,0,2,43,10.737708,1.139667,18.159000
0,26,1,0,43,11.055375,1.238333,18.736000
0,26,2,128,43,35.078375,1.281250,43.223000
0,26,3,32,43,15.859375,1.131083,23.174000
0,26,4,1,43,10.863125,1.044167,18.291000
0,27,0,1,43,10.865792,1.064792,18.260000
0,27,1,2,43,10.740417,1.096917,18.007000
0,27,2,0,43,10.721625,1.037458,17.771000
0,27,3,128,43,34.997042,1.066542,42.081000
0,27,4,32,43,15.825875,1.090500,22.894000
0,28,0,32,43,15.844750,1.082250,23.044000
0,28,1,1,43,10.884250,1.134667,18.475000
0,28,2,2,43,10.738167,1.130292,18.177000
0,28,3,0,43,10.734041,1.122042,17.954000
0,28,4,128,43,35.019958,1.056375,42.133000
0,29,0,128,43,35.040208,1.038291,42.317000
0,29,1,32,43,15.845167,1.126833,23.289000
0,29,2,1,43,10.865083,1.148750,18.399000
0,29,3,2,43,10.732125,1.080584,17.983000
0,29,4,0,43,10.736583,1.185166,18.492000
1,0,0,0,43,10.747333,1.004500,18.146000
1,0,1,2,43,10.743875,1.082375,17.808000
1,0,2,1,43,10.874958,1.119083,18.282000
1,0,3,32,43,15.839833,1.062833,22.765000
1,0,4,128,43,34.996708,0.976417,42.123000
1,1,0,2,43,10.744625,1.031167,18.176000
1,1,1,1,43,10.851417,1.046792,18.255000
1,1,2,32,43,15.891292,1.141583,22.920000
1,1,3,128,43,35.012000,1.144167,42.220000
1,1,4,0,43,10.726625,1.096208,17.784000
1,2,0,1,43,10.872375,1.071042,18.131000
1,2,1,32,43,15.851208,1.055292,22.696000
1,2,2,128,43,35.010541,1.088833,42.123000
1,2,3,0,43,10.757208,1.218833,18.479000
1,2,4,2,43,10.749333,1.293292,18.842000
1,3,0,32,43,15.850000,1.242958,23.620000
1,3,1,128,43,35.046708,1.113708,42.463000
1,3,2,0,43,10.744125,1.163875,18.266000
1,3,3,2,43,10.762166,1.132125,18.376000
1,3,4,1,43,10.864042,1.135708,18.388000
1,4,0,128,43,35.063167,1.137375,42.137000
1,4,1,0,43,10.736083,1.168917,17.894000
1,4,2,2,43,10.751583,1.160333,18.155000
1,4,3,1,43,10.868250,1.084375,18.417000
1,4,4,32,43,15.893125,1.014000,22.799000
1,5,0,0,43,10.772667,1.082417,18.023000
1,5,1,128,43,35.050417,1.100125,42.299000
1,5,2,32,43,15.863958,1.126833,22.568000
1,5,3,1,43,10.865500,1.099708,18.033000
1,5,4,2,43,10.746958,1.039000,17.917000
1,6,0,2,43,10.753459,1.018083,18.047000
1,6,1,0,43,11.071708,1.134583,18.346000
1,6,2,128,43,35.581625,1.179792,42.720000
1,6,3,32,43,16.286375,1.308083,23.637000
1,6,4,1,43,11.204584,1.137708,18.929000
1,7,0,1,43,11.065875,1.225083,18.389000
1,7,1,2,43,11.087292,1.053833,18.688000
1,7,2,0,43,11.153500,1.099333,18.596000
1,7,3,128,43,35.330667,1.122708,43.195000
1,7,4,32,43,16.028667,1.101333,23.092000
1,8,0,32,43,16.002917,1.081000,23.217000
1,8,1,1,43,10.957292,1.091708,18.481000
1,8,2,2,43,10.759958,1.104625,18.270000
1,8,3,0,43,10.751000,1.113917,18.215000
1,8,4,128,43,35.005750,1.096833,43.846000
1,9,0,128,43,35.037792,1.082625,42.534000
1,9,1,32,43,15.852542,0.961542,22.547000
1,9,2,1,43,10.856083,0.986583,18.154000
1,9,3,2,43,10.764792,1.134958,18.221000
1,9,4,0,43,10.739083,0.963167,17.915000
1,10,0,0,43,10.742458,1.101333,17.899000
1,10,1,2,43,10.735125,1.078250,17.918000
1,10,2,1,43,10.879167,1.115000,18.192000
1,10,3,32,43,15.850458,1.129792,22.994000
1,10,4,128,43,35.105583,1.323833,43.586000
1,11,0,2,43,10.782333,1.078250,18.367000
1,11,1,1,43,10.875333,1.128042,18.113000
1,11,2,32,43,15.877500,1.130542,23.203000
1,11,3,128,43,35.022542,1.031083,42.334000
1,11,4,0,43,10.747542,1.126042,18.359000
1,12,0,1,43,10.880250,1.062000,18.432000
1,12,1,32,43,15.822708,1.090791,22.774000
1,12,2,128,43,35.280583,0.998250,42.406000
1,12,3,0,43,10.755875,0.968750,17.990000
1,12,4,2,43,10.760708,1.089125,18.110000
1,13,0,32,43,15.883459,1.035792,22.671000
1,13,1,128,43,35.023917,1.038292,42.246000
1,13,2,0,43,10.735958,1.089250,17.995000
1,13,3,2,43,10.751042,1.119209,18.008000
1,13,4,1,43,10.867000,1.161417,18.199000
1,14,0,128,43,35.052250,1.030583,42.122000
1,14,1,0,43,10.753208,1.225000,18.249000
1,14,2,2,43,10.804792,1.237167,18.968000
1,14,3,1,43,10.893958,1.214000,18.760000
1,14,4,32,43,15.847459,1.023250,22.672000
1,15,0,0,43,10.747458,1.200042,18.464000
1,15,1,128,43,35.006708,1.147625,42.417000
1,15,2,32,43,15.843959,0.990042,22.573000
1,15,3,1,43,10.964458,1.033458,17.790000
1,15,4,2,43,10.879167,1.121167,18.350000
1,16,0,2,43,10.805791,1.270583,18.294000
1,16,1,0,43,10.822667,0.996833,17.953000
1,16,2,128,43,35.042833,1.167375,42.464000
1,16,3,32,43,15.932542,1.074792,23.308000
1,16,4,1,43,10.870417,1.028750,18.469000
1,17,0,1,43,10.877333,1.052292,18.060000
1,17,1,2,43,10.736333,1.049583,18.139000
1,17,2,0,43,10.754750,1.065959,18.110000
1,17,3,128,43,35.087625,1.039208,42.118000
1,17,4,32,43,15.851083,1.157583,22.676000
1,18,0,32,43,15.885000,1.112667,22.891000
1,18,1,1,43,10.859792,1.232292,18.285000
1,18,2,2,43,10.741208,1.241875,19.101000
1,18,3,0,43,10.755666,1.201041,18.819000
1,18,4,128,43,35.028708,1.114041,42.247000
1,19,0,128,43,35.014708,1.219625,42.755000
1,19,1,32,43,15.825458,1.073708,22.543000
1,19,2,1,43,10.854542,1.105167,18.039000
1,19,3,2,43,10.765667,1.082208,17.911000
1,19,4,0,43,10.758292,1.094250,17.832000
1,20,0,0,43,10.746916,1.129375,18.322000
1,20,1,2,43,10.764084,1.084541,17.842000
1,20,2,1,43,10.858458,1.020375,17.953000
1,20,3,32,43,15.857750,1.072083,22.828000
1,20,4,128,43,35.040458,1.032917,42.049000
1,21,0,2,43,10.751792,0.956000,17.845000
1,21,1,1,43,10.883708,1.055875,18.366000
1,21,2,32,43,15.911750,1.085833,23.044000
1,21,3,128,43,35.037334,1.012792,42.154000
1,21,4,0,43,10.753083,0.978667,18.031000
1,22,0,1,43,10.878083,1.003916,18.074000
1,22,1,32,43,15.845625,1.067250,23.022000
1,22,2,128,43,35.001417,1.153875,43.005000
1,22,3,0,43,10.771667,1.100083,18.165000
1,22,4,2,43,10.751125,1.180375,18.223000
1,23,0,32,43,15.872125,1.120000,23.171000
1,23,1,128,43,35.042292,1.113291,42.334000
1,23,2,0,43,10.767000,1.019416,17.963000
1,23,3,2,43,10.739458,0.977542,18.052000
1,23,4,1,43,10.890750,0.962625,17.887000
1,24,0,128,43,35.059792,1.059792,41.933000
1,24,1,0,43,10.786166,1.095458,18.377000
1,24,2,2,43,10.742625,1.122750,18.352000
1,24,3,1,43,10.914292,1.219542,18.029000
1,24,4,32,43,15.873167,1.154833,23.126000
1,25,0,0,43,10.771500,0.983375,17.763000
1,25,1,128,43,35.019917,1.004792,42.023000
1,25,2,32,43,15.820875,1.004167,22.574000
1,25,3,1,43,10.872541,1.052500,18.491000
1,25,4,2,43,10.767708,1.086208,18.245000
1,26,0,2,43,10.791500,1.110958,18.370000
1,26,1,0,43,10.756167,1.282541,19.159000
1,26,2,128,43,35.025917,1.215458,43.080000
1,26,3,32,43,15.854833,1.187000,23.456000
1,26,4,1,43,10.885750,1.172542,18.346000
1,27,0,1,43,10.888000,1.145000,18.294000
1,27,1,2,43,11.128083,1.079542,18.165000
1,27,2,0,43,11.051666,1.100208,18.326000
1,27,3,128,43,35.017667,0.970458,41.857000
1,27,4,32,43,15.891125,1.047750,22.680000
1,28,0,32,43,15.844500,1.067833,22.840000
1,28,1,1,43,10.850500,1.175500,18.638000
1,28,2,2,43,10.774167,1.189292,18.196000
1,28,3,0,43,10.764333,1.112542,18.108000
1,28,4,128,43,35.034041,1.089208,42.060000
1,29,0,128,43,35.051250,1.086708,42.006000
1,29,1,32,43,15.846042,1.010500,22.813000
1,29,2,1,43,10.951792,1.073750,18.016000
1,29,3,2,43,10.993416,1.063083,18.069000
1,29,4,0,43,10.775583,1.090167,18.458000
