stratum,round,selector,layer,gpu_ms
0,1,0,30,0.248208
0,1,0,31,0.246708
0,1,0,32,0.247750
0,1,0,33,0.247375
0,1,0,34,0.247792
0,1,0,35,0.247542
0,1,0,36,0.247792
0,1,0,37,0.247750
0,1,0,38,0.247375
0,1,0,39,0.248500
0,1,0,40,0.248292
0,1,0,41,0.247833
0,1,0,42,0.247625
0,2,3,0,0.138500
0,2,3,1,0.138250
0,2,3,2,0.138292
0,2,3,3,0.138167
0,2,3,4,0.138042
0,2,3,5,0.138250
0,2,3,6,0.138292
0,2,3,7,0.138375
0,2,3,8,0.138625
0,2,3,9,0.138458
0,2,3,10,0.138333
0,2,3,11,0.137333
0,2,3,12,0.138000
0,2,3,13,0.137833
0,2,3,14,0.141542
0,2,3,15,0.139792
0,2,3,16,0.137500
0,2,3,17,0.136500
0,2,3,18,0.138500
0,2,3,19,0.138583
0,2,3,20,0.139625
0,2,3,21,0.139417
0,2,3,22,0.140083
0,2,3,23,0.139083
0,2,3,24,0.139333
0,2,3,25,0.139000
0,2,3,26,0.138875
0,2,3,27,0.139750
0,2,3,28,0.138833
0,2,3,29,0.138750
0,2,3,30,0.138625
0,2,3,31,0.138625
0,2,3,32,0.138625
0,2,3,33,0.138875
0,2,3,34,0.138667
0,2,3,35,0.138708
0,2,3,36,0.138958
0,2,3,37,0.138583
0,2,3,38,0.138750
0,2,3,39,0.138708
0,2,3,40,0.138500
0,2,3,41,0.138250
0,2,3,42,0.137625
0,2,4,0,0.139750
0,2,4,1,0.140917
0,2,4,2,0.140917
0,2,4,3,0.139875
0,2,4,4,0.138542
0,2,4,5,0.138250
0,2,4,6,0.138000
0,2,4,7,0.137875
0,2,4,8,0.138417
0,2,4,9,0.139875
0,2,4,10,0.139000
0,2,4,11,0.139208
0,2,4,12,0.139417
0,2,4,13,0.139000
0,2,4,14,0.139625
0,2,4,15,0.139625
0,2,4,16,0.139083
0,2,4,17,0.138958
0,2,4,18,0.139667
0,2,4,19,0.139625
0,2,4,20,0.139375
0,2,4,21,0.139625
0,2,4,22,0.139917
0,2,4,23,0.139125
0,2,4,24,0.139292
0,2,4,25,0.138917
0,2,4,26,0.138750
0,2,4,27,0.139500
0,2,4,28,0.139583
0,2,4,29,0.138958
0,2,4,30,0.139000
0,2,4,31,0.138917
0,2,4,32,0.138542
0,2,4,33,0.139125
0,2,4,34,0.138708
0,2,4,35,0.139625
0,2,4,36,0.138833
0,2,4,37,0.139125
0,2,4,38,0.139417
0,2,4,39,0.139208
0,2,4,40,0.138917
0,2,4,41,0.139500
0,2,4,42,0.138625
0,2,0,0,0.249208
0,2,0,1,0.248875
0,2,0,2,0.246542
0,2,0,3,0.246708
0,2,0,4,0.248708
0,2,0,5,0.249458
0,2,0,6,0.247458
0,2,0,7,0.247125
0,2,0,8,0.247417
0,2,0,9,0.248750
0,2,0,10,0.248667
0,2,0,11,0.247750
0,2,0,12,0.246875
0,2,0,13,0.248750
0,2,0,14,0.248667
0,2,0,15,0.248875
0,2,0,16,0.247125
0,2,0,17,0.249125
0,2,0,18,0.247625
0,2,0,19,0.248333
0,2,0,20,0.247833
0,2,0,21,0.246750
0,2,0,22,0.248042
0,2,0,23,0.247875
0,2,0,24,0.248458
0,2,0,25,0.246875
0,2,0,26,0.246708
0,2,0,27,0.247042
0,2,0,28,0.247292
0,2,0,29,0.248250
0,2,0,30,0.247375
0,2,0,31,0.247500
0,2,0,32,0.246083
0,2,0,33,0.247250
0,2,0,34,0.248208
0,2,0,35,0.247875
0,2,0,36,0.248000
0,2,0,37,0.248000
0,2,0,38,0.247375
0,2,0,39,0.248250
0,2,0,40,0.248208
0,2,0,41,0.247667
0,2,0,42,0.248250
0,2,2,0,0.248000
0,2,2,1,0.247750
0,2,2,2,0.248083
0,2,2,3,0.246875
0,2,2,4,0.248958
0,2,2,5,0.247625
0,2,2,6,0.248000
0,2,2,7,0.247042
0,2,2,8,0.247917
0,2,2,9,0.248375
0,2,2,10,0.247000
0,2,2,11,0.247625
0,2,2,12,0.247542
0,2,2,13,0.247708
0,2,2,14,0.247375
0,2,2,15,0.248250
0,2,2,16,0.247625
0,2,2,17,0.248375
0,2,2,18,0.248875
0,2,2,19,0.246750
0,2,2,20,0.250500
0,2,2,21,0.247375
0,2,2,22,0.247875
0,2,2,23,0.246958
0,2,2,24,0.247792
0,2,2,25,0.258417
0,2,2,26,0.266792
0,2,2,27,0.248833
0,2,2,28,0.246875
0,2,2,29,0.247750
0,2,2,30,0.248083
0,2,2,31,0.247875
0,2,2,32,0.248417
0,2,2,33,0.248917
0,2,2,34,0.248000
0,2,2,35,0.248000
0,2,2,36,0.248250
0,2,2,37,0.248000
0,2,2,38,0.247333
0,2,2,39,0.248583
0,2,2,40,0.249208
0,2,2,41,0.248917
0,2,2,42,0.247292
0,3,4,0,0.138625
0,3,4,1,0.140458
0,3,4,2,0.138542
0,3,4,3,0.138375
0,3,4,4,0.138125
0,3,4,5,0.138125
0,3,4,6,0.138000
0,3,4,7,0.141417
0,3,4,8,0.185875
0,3,4,9,0.143375
0,3,4,10,0.138208
0,3,4,11,0.137750
0,3,4,12,0.139625
0,3,4,13,0.141000
0,3,4,14,0.184250
0,3,4,15,0.142958
0,3,4,16,0.138250
0,3,4,17,0.137917
0,3,4,18,0.137500
0,3,4,19,0.137750
0,3,4,20,0.138208
0,3,4,21,0.138583
0,3,4,22,0.138458
0,3,4,23,0.137500
0,3,4,24,0.137917
0,3,4,25,0.137500
0,3,4,26,0.137625
0,3,4,27,0.138208
0,3,4,28,0.138000
0,3,4,29,0.137583
0,3,4,30,0.138583
0,3,4,31,0.137583
0,3,4,32,0.137875
0,3,4,33,0.138417
0,3,4,34,0.137708
0,3,4,35,0.138375
0,3,4,36,0.137625
0,3,4,37,0.137750
0,3,4,38,0.138125
0,3,4,39,0.137875
0,3,4,40,0.137500
0,3,4,41,0.138000
0,3,4,42,0.137375
0,3,0,0,0.247542
0,3,0,1,0.247958
0,3,0,2,0.247000
0,3,0,3,0.248500
0,3,0,4,0.248125
0,3,0,5,0.247375
0,3,0,6,0.247750
0,3,0,7,0.246625
0,3,0,8,0.248375
0,3,0,9,0.248125
0,3,0,10,0.246875
0,3,0,11,0.247458
0,3,0,12,0.246875
0,3,0,13,0.248167
0,3,0,14,0.247917
0,3,0,15,0.247833
0,3,0,16,0.248208
0,3,0,17,0.248625
0,3,0,18,0.247917
0,3,0,19,0.248625
0,3,0,20,0.247875
0,3,0,21,0.248625
0,3,0,22,0.246917
0,3,0,23,0.248708
0,3,0,24,0.248875
0,3,0,25,0.247917
0,3,0,26,0.246542
0,3,0,27,0.248125
0,3,0,28,0.247625
0,3,0,29,0.247292
0,3,0,30,0.247583
0,3,0,31,0.244750
0,3,0,32,0.247417
0,3,0,33,0.248667
0,3,0,34,0.248792
0,3,0,35,0.248625
0,3,0,36,0.247500
0,3,0,37,0.249083
0,3,0,38,0.247667
0,3,0,39,0.248667
0,3,0,40,0.248125
0,3,0,41,0.247792
0,3,0,42,0.247333
0,3,2,0,0.247875
0,3,2,1,0.248542
0,3,2,2,0.246542
0,3,2,3,0.246667
0,3,2,4,0.247958
0,3,2,5,0.248042
0,3,2,6,0.248375
0,3,2,7,0.248375
0,3,2,8,0.247125
0,3,2,9,0.248500
0,3,2,10,0.247375
0,3,2,11,0.249125
0,3,2,12,0.247208
0,3,2,13,0.248000
0,3,2,14,0.247750
0,3,2,15,0.247500
0,3,2,16,0.248375
0,3,2,17,0.249750
0,3,2,18,0.247958
0,3,2,19,0.249167
0,3,2,20,0.248125
0,3,2,21,0.248208
0,3,2,22,0.248625
0,3,2,23,0.248083
0,3,2,24,0.247750
0,3,2,25,0.248000
0,3,2,26,0.248917
0,3,2,27,0.247875
0,3,2,28,0.248250
0,3,2,29,0.246375
0,3,2,30,0.245833
0,3,2,31,0.246208
0,3,2,32,0.247875
0,3,2,33,0.248125
0,3,2,34,0.247250
0,3,2,35,0.248375
0,3,2,36,0.248250
0,3,2,37,0.249708
0,3,2,38,0.247625
0,3,2,39,0.247208
0,3,2,40,0.248958
0,3,2,41,0.247875
0,3,2,42,0.249125
0,3,3,0,0.138500
0,3,3,1,0.137833
0,3,3,2,0.137875
0,3,3,3,0.138125
0,3,3,4,0.137417
0,3,3,5,0.137625
0,3,3,6,0.137250
0,3,3,7,0.137625
0,3,3,8,0.137750
0,3,3,9,0.137500
0,3,3,10,0.137292
0,3,3,11,0.137875
0,3,3,12,0.137542
0,3,3,13,0.138000
0,3,3,14,0.137625
0,3,3,15,0.137417
0,3,3,16,0.138125
0,3,3,17,0.137333
0,3,3,18,0.137750
0,3,3,19,0.137875
0,3,3,20,0.138000
0,3,3,21,0.138250
0,3,3,22,0.138125
0,3,3,23,0.138042
0,3,3,24,0.137292
0,3,3,25,0.137875
0,3,3,26,0.137750
0,3,3,27,0.138000
0,3,3,28,0.138375
0,3,3,29,0.137750
0,3,3,30,0.138833
0,3,3,31,0.137833
0,3,3,32,0.137833
0,3,3,33,0.138500
0,3,3,34,0.137792
0,3,3,35,0.138625
0,3,3,36,0.138125
0,3,3,37,0.138000
0,3,3,38,0.138458
0,3,3,39,0.137750
0,3,3,40,0.138125
0,3,3,41,0.138333
0,3,3,42,0.137583
0,4,0,0,0.248500
0,4,0,1,0.246750
0,4,0,2,0.245083
0,4,0,3,0.245750
0,4,0,4,0.247750
0,4,0,5,0.247500
0,4,0,6,0.249000
0,4,0,7,0.247708
0,4,0,8,0.248125
0,4,0,9,0.247708
0,4,0,10,0.247167
0,4,0,11,0.250125
0,4,0,12,0.248375
0,4,0,13,0.248375
0,4,0,14,0.248375
0,4,0,15,0.246750
0,4,0,16,0.247875
0,4,0,17,0.249750
0,4,0,18,0.248042
0,4,0,19,0.247625
0,4,0,20,0.247375
0,4,0,21,0.247042
0,4,0,22,0.248792
0,4,0,23,0.246875
0,4,0,24,0.247083
0,4,0,25,0.247125
0,4,0,26,0.247375
0,4,0,27,0.247333
0,4,0,28,0.247250
0,4,0,29,0.247875
0,4,0,30,0.248375
0,4,0,31,0.245375
0,4,0,32,0.246792
0,4,0,33,0.247750
0,4,0,34,0.247375
0,4,0,35,0.248708
0,4,0,36,0.247500
0,4,0,37,0.247458
0,4,0,38,0.247917
0,4,0,39,0.248500
0,4,0,40,0.248458
0,4,0,41,0.247917
0,4,0,42,0.249125
0,4,4,0,0.140083
0,4,4,1,0.137875
0,4,4,2,0.138000
0,4,4,3,0.138375
0,4,4,4,0.137792
0,4,4,5,0.137792
0,4,4,6,0.138000
0,4,4,7,0.137875
0,4,4,8,0.137750
0,4,4,9,0.137875
0,4,4,10,0.137917
0,4,4,11,0.138000
0,4,4,12,0.137750
0,4,4,13,0.137375
0,4,4,14,0.138125
0,4,4,15,0.138000
0,4,4,16,0.137958
0,4,4,17,0.137125
0,4,4,18,0.137500
0,4,4,19,0.138000
0,4,4,20,0.139375
0,4,4,21,0.138458
0,4,4,22,0.138250
0,4,4,23,0.138000
0,4,4,24,0.137958
0,4,4,25,0.137750
0,4,4,26,0.138375
0,4,4,27,0.138750
0,4,4,28,0.137750
0,4,4,29,0.137750
0,4,4,30,0.137833
0,4,4,31,0.137875
0,4,4,32,0.138208
0,4,4,33,0.137917
0,4,4,34,0.138000
0,4,4,35,0.138625
0,4,4,36,0.137625
0,4,4,37,0.137583
0,4,4,38,0.138000
0,4,4,39,0.137875
0,4,4,40,0.137875
0,4,4,41,0.138250
0,4,4,42,0.137292
0,4,3,0,0.138125
0,4,3,1,0.138083
0,4,3,2,0.137833
0,4,3,3,0.137792
0,4,3,4,0.137875
0,4,3,5,0.137250
0,4,3,6,0.137708
0,4,3,7,0.137750
0,4,3,8,0.137625
0,4,3,9,0.137667
0,4,3,10,0.137917
0,4,3,11,0.137375
0,4,3,12,0.137625
0,4,3,13,0.137833
0,4,3,14,0.138125
0,4,3,15,0.137750
0,4,3,16,0.137875
0,4,3,17,0.140292
0,4,3,18,0.139708
0,4,3,19,0.139458
0,4,3,20,0.138875
0,4,3,21,0.138292
0,4,3,22,0.138958
0,4,3,23,0.140333
0,4,3,24,0.140500
0,4,3,25,0.185958
0,4,3,26,0.144708
0,4,3,27,0.140125
0,4,3,28,0.138625
0,4,3,29,0.138750
0,4,3,30,0.144000
0,4,3,31,0.182625
0,4,3,32,0.143250
0,4,3,33,0.138417
0,4,3,34,0.138583
0,4,3,35,0.138667
0,4,3,36,0.138125
0,4,3,37,0.137875
0,4,3,38,0.138417
0,4,3,39,0.138375
0,4,3,40,0.138167
0,4,3,41,0.138500
0,4,3,42,0.137625
0,4,2,0,0.248333
0,4,2,1,0.247583
0,4,2,2,0.246875
0,4,2,3,0.246875
0,4,2,4,0.247625
0,4,2,5,0.248542
0,4,2,6,0.247667
0,4,2,7,0.246625
0,4,2,8,0.247375
0,4,2,9,0.248375
0,4,2,10,0.248250
0,4,2,11,0.249667
0,4,2,12,0.247375
0,4,2,13,0.248000
0,4,2,14,0.249583
0,4,2,15,0.247375
0,4,2,16,0.247458
0,4,2,17,0.249375
0,4,2,18,0.247042
0,4,2,19,0.249500
0,4,2,20,0.247750
0,4,2,21,0.248292
0,4,2,22,0.247583
0,4,2,23,0.246375
0,4,2,24,0.248125
0,4,2,25,0.248125
0,4,2,26,0.247875
0,4,2,27,0.248625
0,4,2,28,0.247375
0,4,2,29,0.247125
0,4,2,30,0.247250
0,4,2,31,0.247417
0,4,2,32,0.246375
0,4,2,33,0.247250
0,4,2,34,0.248292
0,4,2,35,0.247833
0,4,2,36,0.248042
0,4,2,37,0.247542
0,4,2,38,0.247875
0,4,2,39,0.247583
0,4,2,40,0.247167
0,4,2,41,0.246792
0,4,2,42,0.247667
0,5,2,0,0.248875
0,5,2,1,0.249292
0,5,2,2,0.246625
0,5,2,3,0.247375
0,5,2,4,0.248375
0,5,2,5,0.248375
0,5,2,6,0.248000
0,5,2,7,0.248375
0,5,2,8,0.246292
0,5,2,9,0.248500
0,5,2,10,0.247000
0,5,2,11,0.247625
0,5,2,12,0.247542
0,5,2,13,0.247500
0,5,2,14,0.247667
0,5,2,15,0.247625
0,5,2,16,0.248000
0,5,2,17,0.249083
0,5,2,18,0.246917
0,5,2,19,0.248000
0,5,2,20,0.247750
0,5,2,21,0.247500
0,5,2,22,0.245750
0,5,2,23,0.247292
0,5,2,24,0.247917
0,5,2,25,0.247542
0,5,2,26,0.248833
0,5,2,27,0.247125
0,5,2,28,0.247333
0,5,2,29,0.247583
0,5,2,30,0.247833
0,5,2,31,0.246583
0,5,2,32,0.248333
0,5,2,33,0.247500
0,5,2,34,0.248125
0,5,2,35,0.249042
0,5,2,36,0.247417
0,5,2,37,0.247875
0,5,2,38,0.248125
0,5,2,39,0.247125
0,5,2,40,0.247750
0,5,2,41,0.248750
0,5,2,42,0.247625
0,5,0,0,0.248375
0,5,0,1,0.248500
0,5,0,2,0.245917
0,5,0,3,0.247750
0,5,0,4,0.246625
0,5,0,5,0.248333
0,5,0,6,0.249042
0,5,0,7,0.247750
0,5,0,8,0.248333
0,5,0,9,0.247417
0,5,0,10,0.247375
0,5,0,11,0.249500
0,5,0,12,0.248375
0,5,0,13,0.249000
0,5,0,14,0.247625
0,5,0,15,0.248000
0,5,0,16,0.250333
0,5,0,17,0.248833
0,5,0,18,0.249125
0,5,0,19,0.249375
0,5,0,20,0.248417
0,5,0,21,0.247750
0,5,0,22,0.248042
0,5,0,23,0.246833
0,5,0,24,0.249250
0,5,0,25,0.248125
0,5,0,26,0.248542
0,5,0,27,0.247375
0,5,0,28,0.247958
0,5,0,29,0.248625
0,5,0,30,0.248500
0,5,0,31,0.247500
0,5,0,32,0.248000
0,5,0,33,0.247750
0,5,0,34,0.249000
0,5,0,35,0.248000
0,5,0,36,0.247708
0,5,0,37,0.247250
0,5,0,38,0.247583
0,5,0,39,0.248542
0,5,0,40,0.248250
0,5,0,41,0.247833
0,5,0,42,0.247500
0,5,4,0,0.138792
0,5,4,1,0.137875
0,5,4,2,0.138000
0,5,4,3,0.140500
0,5,4,4,0.138917
0,5,4,5,0.138333
0,5,4,6,0.139083
0,5,4,7,0.140208
0,5,4,8,0.138292
0,5,4,9,0.137500
0,5,4,10,0.137625
0,5,4,11,0.137708
0,5,4,12,0.137833
0,5,4,13,0.137750
0,5,4,14,0.137875
0,5,4,15,0.138208
0,5,4,16,0.137875
0,5,4,17,0.137292
0,5,4,18,0.137792
0,5,4,19,0.137958
0,5,4,20,0.138292
0,5,4,21,0.137542
0,5,4,22,0.138417
0,5,4,23,0.137833
0,5,4,24,0.137875
0,5,4,25,0.137542
0,5,4,26,0.137458
0,5,4,27,0.138417
0,5,4,28,0.138250
0,5,4,29,0.137750
0,5,4,30,0.137750
0,5,4,31,0.138125
0,5,4,32,0.138000
0,5,4,33,0.137750
0,5,4,34,0.137875
0,5,4,35,0.138375
0,5,4,36,0.137917
0,5,4,37,0.138875
0,5,4,38,0.138500
